isDGA,letter_count,digit_count,biz,co.uk,com,com.br,de,info,ir,jp,net,org,ru,alexa,bamital,cryptolocker,gameoverdga,goz,legit,necurs,newgoz,nivdort
1,0.40625,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.5,0.37037037037037035,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0.25,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0.59375,0.25925925925925924,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0.46875,0.3333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0.375,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0.5625,0.2222222222222222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0.4375,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.375,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0.40625,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0.40625,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0.46875,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0.4375,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0.46875,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0.40625,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.40625,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0.375,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0.625,0.2222222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.5,0.37037037037037035,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
